key,kr,en,jp,zh-sc-gl,zh-sc-zai,th,id,ru,it,pt,es,vi,zh-hant,fr,tr
camera_post,게시물 등록,Post,投稿する,发布作品,发布作品,อัปโหลดโพสต์,Posting,Опубликовать,Pubblica,Publicar,Publicar,Đăng,上傳作品,Poster,Gönderi
camera_inProgress,진행 중...,In progress...,進行中…,进行中...,进行中...,กำลังดำเนินการ...,Sedang berlangsung,Выполняется...,In corso...,Em andamento...,En progreso...,Đang tiến hành...,進行中......,En cours...,Devam ediyor...
camera_fail,FAIL,FAIL,FAIL,失败,失败,FAIL,GAGAL,СБОЙ,ERRORE,ERRO,FALLO,FAIL,FAIL,FAIL,BAŞARISIZ
camera_success,완료,Done,完了,完成,完成,สำเร็จ,Selesai,Готово,Operazione completata,Pronto,Listo,Hoàn Tất,完成,Terminer,Tamam
camera_feedMessage,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld,#ZEPETOWorld
camera_characterLimit,최대 150자,Max 150 characters,最大150文字,最多150字,最多150字,สูงสุด 150 ตัว,Maksimal 150 kata,Макс. 150 символов,Limite max. di 150 caratteri,Máx. 150 caracteres,150 caracteres como máx.,Tối đa 150 kí tự,最多150字,150 caractères maximum,Maks. 150 karakter
zw_quest_alert_clear,퀘스트를 클리어 했습니다! 스탬프를 획득하세요.,You've cleared all the quests! Receive the stamps.,クエストをクリアしたよ！ スタンプを獲得しよう！,任务已完成！领取印章吧,任务已完成！领取印章吧,เคลียร์เควสต์เรียบร้อยแล้ว! รับสแตมป์ได้เลย,Anda telah menyelesaikan semua misi! Terima stempelnya.,Вы завершили все квесты!! Получите печати.,Hai completato tutte le missioni! Ricevi subito i francobolli.,Concluiu todas as missões! Receba as estampas.,¡Completaste todas las misiones! Aquí tienes las recompensas.,Bạn đã hoàn thành tất cả các nhiệm vụ! Hãy nhận con dấu.,任務完成！請領取印章,Vous avez terminé toutes les quêtes ! Obtenez les tampons.,Bütün görevleri tamamladın! Damgaları al.
zw_quest_alert_reward,보상 게이지를 채웠습니다! 보물상자를 눌러 보상을 수령하세요.,The reward gauge has been filled! Click on the treasure box to collect the reward.,ボーナスゲージが満タンだよ！宝箱をタップして、報酬を受け取ってね。,已填满奖励计量器！点击宝箱领取奖励吧,已填满奖励计量器！点击宝箱领取奖励吧,แถบรางวัลเต็มแล้ว! กดที่กล่องรางวัลเพื่อรับรางวัล,Meteran hadiah sudah terisi! Klik kotak harta karun untuk mengambil hadiah.,"Шкала наград заполнена! Нажмите на сундук с сокровищами, чтобы получить награду.",L'indicatore della ricompensa è ora al massimo livello! Clicca sullo scrigno del tesoro per riscattarla.,A barra de recompensas foi preenchida! Clique no baú para coletar a recompensa.,¡Se llenó el medidor de recompensas! Haz clic en el cofre del tesoro para recolectar la recompensa.,Đã hoàn thành chỉ tiêu nhận thưởng! Nhấn vào hộp kho báu để thu thập phần thưởng.,獎勵計量條已滿！點選禮物箱領取獎勵吧！,La jauge de récompense a été remplie ! Cliquez sur le coffre au trésor pour récupérer la récompense.,Ödül göstergesi dolduruldu! Ödülü toplamak için hazine kutusuna tıkla.
zw_quest_alert_repeat,보상 게이지를 채웠습니다! 보물상자를 눌러 보상을 수령하세요.,You've cleared all the quests! Receive the rewards.,クエストを全部クリアしたよ！ 報酬を獲得しよう！,已完成全部任务！领取奖励吧,已完成全部任务！领取奖励吧,เคลียร์เควสต์ทั้งหมดแล้ว! รับ รางวัลได้เลย,Anda telah menyelesaikan semua misi! Terima hadiah.,Вы завершили все квесты!! Получите награды.,Hai completato tutte le missioni! Ricevi le ricompense.,Concluiu todas as missões! Receba as recompensas.,¡Completaste todas las misiones! Aquí tienes las recompensas.,Bạn đã hoàn thành tất cả các nhiệm vụ! Hãy nhận thưởng.,已完成所有任務！請領取獎勵,Vous avez terminé toutes les quêtes ! Obtenez les récompenses.,Bütün görevleri tamamladın! Al: Ödüller.
zw_quest_alert_connect,퀘스트를 클리어했습니다! 다음 퀘스트를 확인해주세요!,You've cleared the quest! Please check for next quest!,クエストをクリアしたよ！次のクエストを確認しよう！,任务完成！查看下一个任务吧！,任务完成！查看下一个任务吧！,เคลียร์เควสต์เรียบร้อยแล้ว! โปรดตรวจสอบเควสต์ต่อไป!,Anda telah menyelesaikan misi! Silakan periksa misi selanjutnya!,"Квест выполнен! Узнайте, какой квест вас ждет дальше!",Hai completato la missione! Scopri qual è la prossima sfida da completare!,Concluiu a missão! Veja a próxima missão!,¡Completaste la misión! ¡Busca la siguiente!,Bạn đã hoàn thành tất cả các nhiệm vụ! Hãy xem nhiệm vụ tiếp theo!,已完成任務！請查看下一個任務！,Vous avez terminé la quête ! Veuillez vous renseigner sur la prochaine quête !,Görevi tamamladın! Lütfen bir sonraki görev için kontrol et.
