key,kr,en,jp,zh-sc-gl,zh-sc-zai,th,id,ru,it,pt,es,vi,zh-hant,fr,tr
ZW_Bulgari_STR_Guide_Title_1,BULGARI,BULGARI,BULGARI,宝格丽,宝格丽,BULGARI,BULGARI,BULGARI,BULGARI,BULGARI,BULGARI,BULGARI,BULGARI,BULGARI,BULGARI
ZW_Bulgari_STR_Guide_Desc_1-1,불가리 팝업 스토어를 구경해봐요!,Check out BULGARI's pop-up store!,ブルガリのポップアップストアを見に行こう！,快来宝格丽快闪店看一看吧！,快来宝格丽快闪店看一看吧！,ชมป๊อปอัปสโตร์ BULGARI!,Ayo lihat toko pop-up BULGARI!,Загляните во временный магазин BULGARI!,Scopri il nuovo pop-up store BULGARI!,Confira a lojinha da BULGARI!,¡Echa un vistazo a la tienda efímera de BULGARI!,Đến xem cửa hàng pop up của BULGARI nào!,去參觀看看寶格麗快閃店！,Découvrez le pop up store de BILGARI !,BULGARI gezici mağazasına göz at!
ZW_Bulgari_STR_Guide_Desc_1-2,카페에서 커피 한 잔의 여유를 즐겨봐요.,Enjoy a relaxing cup of coffee at the cafe.,カフェでコーヒーを飲みながらゆったりと時間を過ごしてみよう！,在咖啡厅悠闲地品尝一杯咖啡吧,在咖啡厅悠闲地品尝一杯咖啡吧,นั่งดื่มกาแฟชิลล์ๆ ในคาเฟ่,Nikmati secangkir kopi yang membuat rileks di kafe.,Возьмите чашку расслабляющего кофе в кафе.,Rilassati gustandoti un’ottima tazza di caffè presso il bar.,Aproveite um cafézinho relaxante no café.,Tómate una taza de café en la cafetería.,Thưởng thức một tách cà phê thư giãn tại quán cà phê.,去咖啡廳享受悠閒時光！,Savourez une tasse de café relaxante au café.,Kafede bir fincan rahatlatıcı kahvenin tadını çıkar.
ZW_Bulgari_STR_Guide_Desc_1-3,잠자리채로 곳곳에 있는 나비를 잡아 선물과 교환해봐요.,Catch butterflies with a bug net and exchange it for a gift.,虫取り網を使って蝶々を捕まえて、プレゼントと交換してみよう！,用捕虫网抓住各处的蝴蝶，再兑换礼品吧,用捕虫网抓住各处的蝴蝶，再兑换礼品吧,จับผีเสื้อที่อยู่รอบบริเวณด้วยสวิงจับแมลง แล้วนำไปแลกของขวัญ,Tangkap kupu-kupu menggunakan jaring serangga dan tukarkan dengan hadiah.,Ловите бабочек сачком и обменивайте их на подарок.,Cattura le farfalle con un retino e scambiale per ottenere un regalo.,Capture borboletas com uma rede de insetos e troque por um presente.,Atrapa mariposas con una red y cámbiala por un regalo.,Bắt bướm bằng vợt bắt côn trùng để đổi quà.,用捕蟲網抓蝴蝶交換禮物！,Attrapez un papillon bijou avec un filet à insectes et échangez-le contre un cadeau.,Böcek ağıyla mücevherli bir kelebek yakala ve onu bir hediye ile takas et.
ZW_Bulgari_STR_Guide_Title_2,나비 잡기,Catch butterflies,蝶々を捕まえる,抓蝴蝶,抓蝴蝶,จับผีเสื้อ,Tangkap kupu-kupu,Ловля бабочек,Cattura le farfalle,Capture borboletas,Atrapa mariposas,Bắt Bướm,抓蝴蝶,Capturez des papillons,Kelebekleri Yakala
ZW_Bulgari_STR_Guide_Desc_2-1,불가리 카페 가운데 정원에서 잠자리채를 찾아봐요.,Find the bug net in the garden located in the middle of BULGARI Cafe.,ブルガリカフェの真ん中にある虫取り網を探してみよう！,在宝格丽咖啡厅中央庭院寻找捕虫网,在宝格丽咖啡厅中央庭院寻找捕虫网,ตามหาสวิงจับแมลงในสวนกลางคาเฟ่ BULGARI,Temukan jaring serangga di tengah Kafe BULGARI,"Найдите сачок в саду, что расположен в центре кафе BULGARI.",Trova il retino acchiappa farfalle nel giardino interno del bar BULGARI.,Encontre a rede de insetos no jardim que fica no centro do Café BULGARI.,Utiliza la red en el centro de la cafetería BULGARI.,Tìm vợt bắt côn trùng trong khu vườn ở giữa tiệm Cà Phê BULGARI.,在寶格麗咖啡廳中央的庭院尋找捕蟲網！,Servez-vous du filet à insectes dans le jardin BULGARI.,BULGARI Bahçesi'nde böcek ağını kullan.
ZW_Bulgari_STR_Guide_Desc_2-2,잠자리채를 휘둘러 나비를 잡아봐요!<br>나비는 하루에 50마리까지 잡을 수 있어요.,Swing the bug net to catch butterflies!<br>You can catch up to 50 butterflies per day.,虫取り網を使って、蝶々を捕まえよう！<br>蝶々は1日に50匹まで捕まえられるよ〜,挥动捕虫网抓住蝴蝶！<br>一天最多可抓50只蝴蝶,挥动捕虫网抓住蝴蝶！<br>一天最多可抓50只蝴蝶,ลองโบกสวิงจับแมลงเพื่อจับผีเสื้อดูสิ!<br>สามารถจับผีเสื้อได้สูงสุด 50 ต่อวัน,Ayunkan jaring serangga untuk menangkap kupu-kupu!<br>Anda bisa menangkap sampai 50 kupu-kupu setiap harinya.,"Махайте сачком, чтобы ловить бабочек!<br>Вы можете поймать до 50 бабочек в день.",Sventola il retino per catturare tante farfalle!<br>Ogni giorno puoi catturare fino a 50 farfalle.,Use a rede de insetos para capturar borboletas!<br>Você pode capturar até 50 borboletas por dia.,¡Atrapa mariposas con la red!<br>Puedes atrapar hasta 50 mariposas por día.,Vung vợt bắt côn trùng để bắt bướm!<br>Bạn có thể bắt đến 50 con bướm mỗi ngày.,揮動捕蟲網，抓抓看蝴蝶！<br>一天能抓50隻蝴蝶。,Agitez le filet à insectes pour attraper des papillons en forme de bijoux !<br>Vous pouvez attraper jusqu'à 50 papillons par jour.,Mücevherli kelebekleri yakalamak için böcek ağını salla!<br>Günlük 50 taneye kadar kelebek yakalayabilirsin.
ZW_Bulgari_STR_Guide_Desc_2-3,공작새에게 잡은 나비를 주면<br>나비 날개 아이템을 선물받을 수 있어요.,Give the butterflies to the peacock to receive butterfly wings.,クジャクに蝶々を渡すと<br>蝶々の羽のアイテムがもらえるみたい〜,将抓住的蝴蝶交给孔雀可以兑换蝴蝶翅膀,将抓住的蝴蝶交给孔雀可以兑换蝴蝶翅膀,หากนำผีเสื้อที่จับได้ไปให้นกยูง<br>อาจได้รับไอเทมปีกผีเสื้อเป็นของขวัญ,Berikan kupu-kupu pada merak<br>Untuk mendapatkan sayap kupu-kupu.,Отнесите бабочек павлину и получите крылья бабочек взамен.,Dona le farfalle catturate al pavone<br>per ricevere le ali di farfalla.,Dê as borboletas ao pavão<br>para receber asas de borboleta.,"Para recibir alas de mariposa,<br>dale las mariposas al pavo real.",Tặng bướm cho chim công<br>Để nhận cánh bướm.,把抓到的蝴蝶拿給孔雀，<br>就能獲得蝴蝶翅膀道具！,Donnez les papillons en forme de bijoux au paon<br>Pour recevoir des ailes de papillon.,Mücevherli kelebekleri tavus kelebeğine ver<br>Böylece kelebek kanatları alabilirsin.
ZW_Bulgari_STR_Guide_Desc_2-4,운이 좋다면 다른 선물도 받을 수 있어요!,"If you're lucky, you can receive some other gifts too!",運が良ければ他のプレゼントももらえるんだって！,运气好的话还可以得到其它礼物哦！,运气好的话还可以得到其它礼物哦！,หากโชคดีก็อาจจะได้ของขวัญอย่างอื่นด้วยนะ!,"Jika Anda beruntung, Anda bisa mendapatkan hadiah berbeda!","Если повезет, вам достанется другой подарок!","Con un po’ di fortuna, potrai ricevere anche un altro regalo!","Se tiver sorte, você pode receber um presente diferente!","Si tienes suerte, ¡puedes recibir un regalo diferente!","Nếu may mắn, bạn có thể nhận được một phần quà khác.",運氣好的話還能獲得其他禮物！,"Avec un peu de chance, vous pourrez recevoir un cadeau différent !",Şanslıysan farklı bir hediye alabilirsin!
ZW_Bulgari_STR_Quest_Title_1,추억 남기기,Make memories,思い出も残したくない？,留下回忆,留下回忆,สร้างความทรงจำ,Buat Kenangan,Фото на память,Conserva bei ricordi,Crie memórias,Crea recuerdos,Tạo Kỉ Niệm,留下紀念,Créer des souvenirs,Anılar Yarat
